Feature,Importance
AQI_rolling_mean_7,0.16741647285960767
PM2.5_lag1,0.09801821271531937
PM2.5,0.09391125422821206
PM10,0.06302678702812198
AQI_lag7,0.04882836183005752
AQI_lag1,0.04518075973442036
O3,0.03140012671380006
DayOfYear,0.02548051229291572
NH3,0.02122590171579058
AQI_rolling_std_7,0.013075875150033937
NOx,0.005291253948670583
NO2,0.002827104357828202
PM_ratio,0.0021200842567965002
NO,0.00203956844309764
Month,0.0015497621104214926
Season,0.0015103712427496014
CO,0.0014413624110418816
Quarter,0.0014188053780325007
IsWeekend,0.0012883969438126073
City_Encoded,0.0010413475446893743
DayOfWeek,0.0007166753461276794
SO2,0.0005873362833697933
NOx_NO2_ratio,0.0005433112363838353
Benzene,0.0
Xylene,0.0
Toluene,0.0
